Rk,Player▲,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,player_id
1,CJ Abrams*,24,WSN,NL,386,0.372,136,0.308,0.198,3.4,16.6,6.5,89,41.5,25.1,41.5,24.7,0.71,33.8,52.3,13.9,1.7,0.30%,11.04,42,90.9,71.1,*6/H,,abramcj01
2,Bryan Abreu,28,HOU,AL,0,,,,,,,,,,,,,,,,,,,,,,,1,,abreubr01
3,Wilyer Abreu*,26,BOS,AL,314,0.349,124,0.273,0.253,6.4,24.2,9.9,91.4,46.9,17.9,31.9,39.6,0.47,38.6,42.5,18.8,0.5,0.00%,5.7,28,62.5,33.3,*9H/D,,abreuwi02
4,Luisangel Acuña,23,NYM,NL,172,0.274,66,0.302,0.045,0,18.6,6.4,85.8,36.8,22.7,52.3,17.2,1.2,12.5,60.9,26.6,-0.9,-0.70%,-13.92,48,92.3,65,4H/658,,acunajo01
5,Ronald Acuña Jr.,27,ATL,NL,215,0.444,187,0.415,0.281,6,27.4,17.2,92.4,52.1,21.8,42.9,31.9,0.75,22.7,60.5,16.8,0.8,0.20%,15.59,40.7,100,47.1,9/H,AS,acunaro01
6,Willy Adames,29,SFG,NL,429,0.319,108,0.283,0.175,3.5,26.1,11.2,89.7,46,19.5,33.8,36.8,0.51,28.6,55.3,16.2,0.9,0.50%,6.04,36.4,66.7,43.2,*6/D,,adamewi01
7,Jordyn Adams,25,BAL,AL,1,0,-127,0,0,0,0,0,77.2,0,0,0,100,0,0,0,100,0,0.00%,-0.3,,,,/8H,,adamsjo03
8,Riley Adams,29,WSN,NL,126,0.254,59,0.25,0.169,4,42.1,5.6,91.5,48.4,16.9,55.4,24.6,1.24,35.4,46.2,18.5,-1,-0.20%,-5.97,34.8,,27.3,2/H,,adamsri03
9,Jo Adell,26,LAA,AL,347,0.343,116,0.258,0.243,6.1,24.2,6.6,91.4,49.8,24.3,39.6,26.5,0.65,25.2,54.8,20,1.3,0.70%,10.49,19.8,100,46.2,*89/H,,adelljo01
10,Zach Agnos,24,COL,NL,0,,,,,,,,,,,,,,,,,,,,,,,1,,agnosza01
11,Nick Ahmed,35,TEX,AL,10,0.183,-5,0,0,0,30,10,83.4,16.7,0,66.7,16.7,2,50,33.3,16.7,-0.3,-0.20%,-2.31,100,100,100,/6,,ahmedni01
12,Keegan Akin*,30,BAL,AL,0,,,,,,,,,,,,,,,,,,,,,,,1,,akinke01
13,Ozzie Albies#,28,ATL,NL,424,0.288,75,0.247,0.108,2.1,15.8,8.5,87.4,30,23.7,34.7,30.6,0.53,39.1,47.3,13.6,-2.6,-0.90%,-10.33,28.4,88.9,72.4,*4,,albieoz01
14,Sergio Alcántara#,28,SFG,NL,4,0,-117,0,0,0,50,0,84.2,0,0,50,50,1,0,50,50,0,0.00%,-1.25,,,,/56,,alcanse01
15,Blaze Alexander,26,ARI,NL,42,0.353,114,0.36,0.111,0,26.2,7.1,90.2,53.8,19.2,65.4,11.5,2.13,23.1,42.3,34.6,-0.3,-0.10%,-1.78,42.9,100,50,/4H5D,,alexabl01
16,CJ Alexander*,28,ATH,AL,17,0.158,-17,0.333,0,0,47.1,0,81.7,11.1,33.3,22.2,22.2,0.29,55.6,33.3,11.1,-0.2,0.00%,-3.62,0,,,/35H79,,alexacj01
17,Tyler Alexander,30,CHW,AL,1,0,-136,0,0,0,0,0,93.6,0,0,100,0,,0,0,100,-0.1,0.00%,-0.41,,,,1,,alexaty01
18,Nick Allen,26,ATL,NL,301,0.258,58,0.308,0.03,0,22.6,8,82.7,21,24.3,47.1,18,0.95,21.4,54.9,23.8,-1.5,-0.50%,-19.74,28.1,54.5,53.8,*6/H,,allenni02
19,Pete Alonso,30,NYM,NL,441,0.373,148,0.313,0.241,4.8,23.1,10.7,94,53.6,26.4,35.7,30.4,0.56,28.6,49.6,21.8,3,2.10%,20.92,22.9,33.3,43.3,*3,AS,alonspe01
