Rk,Player▲,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,player_id,BAbip,EV,HardH%
1,CJ Abrams*,24,WSN,NL,3.2,87,386,348,63,97,22,4,13,37,20,2,25,64,0.279,0.343,0.477,0.82,133,0.372,136,166,3,10,1,2,1,*6/H,,abramcj01,0.308,89,41.5
2,Bryan Abreu,28,HOU,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,abreubr01,,,
3,Wilyer Abreu*,26,BOS,AL,2.7,87,314,281,43,71,11,0,20,55,5,3,31,76,0.253,0.325,0.505,0.83,127,0.349,124,142,6,0,0,2,4,*9H/D,,abreuwi02,0.273,91.4,46.9
4,Luisangel Acuña,23,NYM,NL,0.3,73,172,157,24,38,7,0,0,7,12,1,11,32,0.242,0.294,0.287,0.581,70,0.274,66,45,6,1,2,1,0,4H/658,,acunajo01,0.302,85.8,36.8
5,Ronald Acuña Jr.,27,ATL,NL,2.8,50,215,178,46,57,9,1,13,24,4,0,37,59,0.32,0.437,0.601,1.038,189,0.444,187,107,1,0,0,0,2,9/H,AS,acunaro01,0.415,92.4,52.1
6,Willy Adames,29,SFG,NL,1.4,101,429,372,59,86,16,2,15,53,4,2,48,112,0.231,0.318,0.406,0.724,108,0.319,108,151,6,2,0,6,1,*6/D,,adamewi01,0.283,89.7,46
7,Jordyn Adams,25,BAL,AL,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-127,0,0,0,0,0,0,/8H,,adamsjo03,0,77.2,0
8,Riley Adams,29,WSN,NL,0.1,38,126,118,13,20,5,0,5,15,0,0,7,53,0.169,0.222,0.339,0.561,59,0.254,59,40,4,1,0,0,0,2/H,,adamsri03,0.25,91.5,48.4
9,Jo Adell,26,LAA,AL,0.9,94,347,313,38,75,13,0,21,58,3,0,23,84,0.24,0.309,0.482,0.792,115,0.343,116,151,2,9,0,1,0,*89/H,,adelljo01,0.258,91.4,49.8
10,Zach Agnos,24,COL,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,agnosza01,,,
11,Nick Ahmed,35,TEX,AL,0.1,5,10,9,1,0,0,0,0,0,1,0,1,3,0,0.1,0,0.1,-67,0.183,-5,0,1,0,0,0,0,/6,,ahmedni01,0,83.4,16.7
12,Keegan Akin*,30,BAL,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,akinke01,,,
13,Ozzie Albies#,28,ATL,NL,0.9,100,424,381,42,85,12,1,9,39,8,1,36,67,0.223,0.295,0.331,0.626,76,0.288,75,126,5,4,0,3,0,*4,,albieoz01,0.247,87.4,30
14,Sergio Alcántara#,28,SFG,NL,-0.1,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-117,0,0,0,0,0,0,/56,,alcanse01,0,84.2,0
15,Blaze Alexander,26,ARI,NL,0.5,16,42,36,6,9,4,0,0,4,2,0,3,11,0.25,0.341,0.361,0.703,97,0.353,114,13,1,2,1,0,0,/4H5D,,alexabl01,0.36,90.2,53.8
16,CJ Alexander*,28,ATH,AL,-0.2,6,17,17,0,3,0,0,0,0,0,0,0,8,0.176,0.176,0.176,0.353,-1,0.158,-17,3,0,0,0,0,0,/35H79,,alexacj01,0.333,81.7,11.1
